СВОДКА ПО РАССЫЛКЕ
Дата отчета;13.02.2026 20:29 МСК

Показатель;Значение
Всего групп в базе;694
Успешно отправлено;458
Не удалось отправить (нет прав);41
Вышли из групп;301
Сейчас в группах (joined);198
Не вошли - истекшие ссылки;59
Не вошли - FloodWait (лимит Telegram);57
Не вошли - другие ошибки;8
В очереди (pending);71


УСПЕШНЫЕ ОТПРАВКИ
N;Группа;Город;Адрес;Ссылка на группу;Ссылка на сообщение;Дата и время отправки
1;Авиаторов ул, 10 2 и 10 1;;Люберцы г, Авиаторов ул, 10 1;https://t.me/+EI4on3qYA1E5MmRi;https://t.me/c/1603929934/8757;08.02.2026 13:31
2;Авиаторов ул, 11;;Люберцы г, Авиаторов ул, 11;https://t.me/+_oB8RbjuEBg5ZDAy;https://t.me/c/1149132264/11824;08.02.2026 13:31
3;Власова ул, 3;;Люберцы г, Власова ул, 3;https://t.me/+ZbFRrCmLS-wxMmUy;https://t.me/c/1581173658/4924;08.02.2026 13:32
4;Власова ул, 4;;Люберцы г, Власова ул, 4;https://t.me/+8b3BbdIKgV04MTUy;https://t.me/c/1540644849/6262;08.02.2026 13:32
5;Власова ул, 5;;Люберцы г, Власова ул, 5;https://t.me/+eXrh0egGridlYTYy;https://t.me/c/1751792933/4338;08.02.2026 13:33
6;Власова ул, 6;;Люберцы г, Власова ул, 6;https://t.me/+p051HmWco-g2ZmVi;https://t.me/c/1671184596/2035;08.02.2026 13:33
7;Волковская ул, 13;;Люберцы г, Волковская ул, 13;https://t.me/+lapJxyx8wB0zODE6;https://t.me/c/1606196737/3063;08.02.2026 13:34
8;Волковская ул, 43;;Люберцы г, Волковская ул, 43;https://t.me/+u6prfYceizE0Nzhi;https://t.me/c/1682791483/6407;08.02.2026 13:34
9;Волковская ул, 49;;Люберцы г, Волковская ул, 49;https://t.me/+o-VZD1fi9uU0MDdi;https://t.me/c/1558611143/2514;08.02.2026 13:35
10;Волковская ул, 49 А;;Люберцы г, Волковская ул, 49 А;https://t.me/+IMfPNXS51t5jNGZi;https://t.me/c/1720666639/3408;08.02.2026 13:35
11;Волковская ул, 5 и 5а;;Люберцы г, Волковская ул, 5;https://t.me/+UIya986e3C1hYTIy;https://t.me/c/1410144449/7139;08.02.2026 13:36
12;Волковская ул, 51;;Люберцы г, Волковская ул, 51;https://t.me/+LqJfJBjb6LRlMmQy;https://t.me/c/1707188883/2140;08.02.2026 13:36
13;Волковская ул, 7 и 7а;;Люберцы г, Волковская ул, 7;https://t.me/+o4omht9cfec1OTky;https://t.me/c/1459095379/7239;08.02.2026 13:37
14;Волковская ул, 9;;Люберцы г, Волковская ул, 9;https://t.me/+3_VH7aMWZUo1NTVi;https://t.me/c/1794920248/2638;08.02.2026 13:37
15;Калараш ул, 1 В;;Люберцы г, Калараш ул, 1 В;https://t.me/+c42kO3IqMYRjZTEy;https://t.me/c/1646302888/2683;08.02.2026 13:38
16;Калараш ул, 11;;Люберцы г, Калараш ул, 11;https://t.me/+5en9sIqr9JU0NGZi;https://t.me/c/1683208300/2780;08.02.2026 13:38
17;Калараш ул, 2;;Люберцы г, Калараш ул, 2;https://t.me/+T1iyi5sxDaYxMGZi;https://t.me/c/1609208762/7841;08.02.2026 13:39
18;Калараш ул, 3 А;;Люберцы г, Калараш ул, 3 А;https://t.me/+VWwkrmhfpcMxNzVi;https://t.me/c/1638329434/4203;08.02.2026 13:39
19;Калараш ул, 5;;Люберцы г, Калараш ул, 5;https://t.me/+nm4Fw46mLRozZjYy;https://t.me/c/1745644646/3509;08.02.2026 13:40
20;Калараш ул, 5 А;;Люберцы г, Калараш ул, 5 А;https://t.me/+hhALfZ9XlaNkNTMy;https://t.me/c/1695702887/10425;08.02.2026 13:40
21;Калараш ул, 7;;Люберцы г, Калараш ул, 7;https://t.me/+xw8n3z_1D7M4ODBi;https://t.me/c/1713208122/5849;08.02.2026 13:41
22;Калараш ул, 7 А;;Люберцы г, Калараш ул, 7 А;https://t.me/+ItHO58g-aB85ZTky;https://t.me/c/1657442837/4137;08.02.2026 13:41
23;Калараш ул, 9;;Люберцы г, Калараш ул, 9;https://t.me/+Vj93zlD6feRiMTYy;https://t.me/c/1754387001/5764;08.02.2026 13:42
24;Калараш ул, 9 А;;Люберцы г, Калараш ул, 9 А;https://t.me/+v_VOYkcqz4RkNzJi;https://t.me/c/1625093756/3650;08.02.2026 13:42
25;Кирова 22 В;;Люберцы г, Кирова ул, 22 В;https://t.me/+h_WEgMXzh2U5ODU6;https://t.me/c/1618484729/1551;08.02.2026 13:43
26;Кирова ул, 10;;Люберцы г, Кирова ул, 10;https://t.me/+nWp4GbKK_tJjN2Uy;https://t.me/c/1778691699/1207;08.02.2026 13:44
27;Кирова ул, 12;;Люберцы г, Кирова ул, 12;https://t.me/+E_vi-C7LbOpjZjQy;https://t.me/c/1708868407/1801;08.02.2026 13:44
28;Кирова ул, 16;;Люберцы г, Кирова ул, 16;https://t.me/+kOSlqPCQLcU4NGI6;https://t.me/c/1555095256/1324;08.02.2026 13:45
29;Кирова ул, 18;;Люберцы г, Кирова ул, 18;https://t.me/+ssYmGOrZ_ro4OGFi;https://t.me/c/1607733252/1641;08.02.2026 13:45
30;Кирова ул, 20;;Люберцы г, Кирова ул, 20;https://t.me/+FP3m2erq1Qc4ZmM6;https://t.me/c/1612593872/1025;08.02.2026 13:46
31;Кирова ул, 22;;Люберцы г, Кирова ул, 22;https://t.me/+0U40qZm4BRFlYmM6;https://t.me/c/1786797934/1861;08.02.2026 13:46
32;Кирова ул, 22 А;;Люберцы г, Кирова ул, 22 А;https://t.me/+5zhgxB33REE5OGMy;https://t.me/c/1606187210/1310;08.02.2026 13:47
33;Кирова ул, 22 Б;;Люберцы г, Кирова ул, 22 Б;https://t.me/+ZDFksKTekiFkYzVi;https://t.me/c/1657147486/1153;08.02.2026 13:47
34;Кирова ул, 22 Г;;Люберцы г, Кирова ул, 22 Г;https://t.me/+417-vn1dvUVlNjIy;https://t.me/c/1683396167/1108;08.02.2026 13:48
