СВОДКА
Дата отчета;13.02.2026 19:34
Всего групп;694
Вошли (joined);487
Вышли (left);0
Не вошли (failed);87
Ожидают (pending);120
Успешных отправок;448
Неудачных отправок;39
Вышли за сессию;0
Вступили за сессию;0
Отправили за сессию;15

УСПЕШНЫЕ ОТПРАВКИ
Сообщение;Группа;Ссылка на группу;Ссылка на сообщение;Дата отправки
Рассылка 6-7 февраля. ;Авиаторов ул, 10 2 и 10 1;https://t.me/+EI4on3qYA1E5MmRi;https://t.me/c/1603929934/8757;2026-02-08T13:31:14.402344
Рассылка 6-7 февраля. ;Авиаторов ул, 11;https://t.me/+_oB8RbjuEBg5ZDAy;https://t.me/c/1149132264/11824;2026-02-08T13:31:45.307112
Рассылка 6-7 февраля. ;Власова ул, 3;https://t.me/+ZbFRrCmLS-wxMmUy;https://t.me/c/1581173658/4924;2026-02-08T13:32:16.072592
Рассылка 6-7 февраля. ;Власова ул, 4;https://t.me/+8b3BbdIKgV04MTUy;https://t.me/c/1540644849/6262;2026-02-08T13:32:46.680261
Рассылка 6-7 февраля. ;Власова ул, 5;https://t.me/+eXrh0egGridlYTYy;https://t.me/c/1751792933/4338;2026-02-08T13:33:17.248159
Рассылка 6-7 февраля. ;Власова ул, 6;https://t.me/+p051HmWco-g2ZmVi;https://t.me/c/1671184596/2035;2026-02-08T13:33:47.778228
Рассылка 6-7 февраля. ;Волковская ул, 13;https://t.me/+lapJxyx8wB0zODE6;https://t.me/c/1606196737/3063;2026-02-08T13:34:18.629974
Рассылка 6-7 февраля. ;Волковская ул, 43;https://t.me/+u6prfYceizE0Nzhi;https://t.me/c/1682791483/6407;2026-02-08T13:34:49.146440
Рассылка 6-7 февраля. ;Волковская ул, 49;https://t.me/+o-VZD1fi9uU0MDdi;https://t.me/c/1558611143/2514;2026-02-08T13:35:19.714146
Рассылка 6-7 февраля. ;Волковская ул, 49 А;https://t.me/+IMfPNXS51t5jNGZi;https://t.me/c/1720666639/3408;2026-02-08T13:35:50.363700
Рассылка 6-7 февраля. ;Волковская ул, 5 и 5а;https://t.me/+UIya986e3C1hYTIy;https://t.me/c/1410144449/7139;2026-02-08T13:36:20.945647
Рассылка 6-7 февраля. ;Волковская ул, 51;https://t.me/+LqJfJBjb6LRlMmQy;https://t.me/c/1707188883/2140;2026-02-08T13:36:51.365055
Рассылка 6-7 февраля. ;Волковская ул, 7 и 7а;https://t.me/+o4omht9cfec1OTky;https://t.me/c/1459095379/7239;2026-02-08T13:37:22.111556
Рассылка 6-7 февраля. ;Волковская ул, 9;https://t.me/+3_VH7aMWZUo1NTVi;https://t.me/c/1794920248/2638;2026-02-08T13:37:52.556559
Рассылка 6-7 февраля. ;Калараш ул, 1 В;https://t.me/+c42kO3IqMYRjZTEy;https://t.me/c/1646302888/2683;2026-02-08T13:38:23.060701
Рассылка 6-7 февраля. ;Калараш ул, 11;https://t.me/+5en9sIqr9JU0NGZi;https://t.me/c/1683208300/2780;2026-02-08T13:38:53.576926
Рассылка 6-7 февраля. ;Калараш ул, 2;https://t.me/+T1iyi5sxDaYxMGZi;https://t.me/c/1609208762/7841;2026-02-08T13:39:24.278223
Рассылка 6-7 февраля. ;Калараш ул, 3 А;https://t.me/+VWwkrmhfpcMxNzVi;https://t.me/c/1638329434/4203;2026-02-08T13:39:54.725856
Рассылка 6-7 февраля. ;Калараш ул, 5;https://t.me/+nm4Fw46mLRozZjYy;https://t.me/c/1745644646/3509;2026-02-08T13:40:25.225136
Рассылка 6-7 февраля. ;Калараш ул, 5 А;https://t.me/+hhALfZ9XlaNkNTMy;https://t.me/c/1695702887/10425;2026-02-08T13:40:56.007388
Рассылка 6-7 февраля. ;Калараш ул, 7;https://t.me/+xw8n3z_1D7M4ODBi;https://t.me/c/1713208122/5849;2026-02-08T13:41:26.902388
Рассылка 6-7 февраля. ;Калараш ул, 7 А;https://t.me/+ItHO58g-aB85ZTky;https://t.me/c/1657442837/4137;2026-02-08T13:41:57.423895
Рассылка 6-7 февраля. ;Калараш ул, 9;https://t.me/+Vj93zlD6feRiMTYy;https://t.me/c/1754387001/5764;2026-02-08T13:42:28.213527
Рассылка 6-7 февраля. ;Калараш ул, 9 А;https://t.me/+v_VOYkcqz4RkNzJi;https://t.me/c/1625093756/3650;2026-02-08T13:42:58.848773
Рассылка 6-7 февраля. ;Кирова 22 В;https://t.me/+h_WEgMXzh2U5ODU6;https://t.me/c/1618484729/1551;2026-02-08T13:43:29.399487
Рассылка 6-7 февраля. ;Кирова ул, 10;https://t.me/+nWp4GbKK_tJjN2Uy;https://t.me/c/1778691699/1207;2026-02-08T13:44:00.059780
Рассылка 6-7 февраля. ;Кирова ул, 12;https://t.me/+E_vi-C7LbOpjZjQy;https://t.me/c/1708868407/1801;2026-02-08T13:44:30.547327
Рассылка 6-7 февраля. ;Кирова ул, 16;https://t.me/+kOSlqPCQLcU4NGI6;https://t.me/c/1555095256/1324;2026-02-08T13:45:01.062153
Рассылка 6-7 февраля. ;Кирова ул, 18;https://t.me/+ssYmGOrZ_ro4OGFi;https://t.me/c/1607733252/1641;2026-02-08T13:45:31.709549
Рассылка 6-7 февраля. ;Кирова ул, 20;https://t.me/+FP3m2erq1Qc4ZmM6;https://t.me/c/1612593872/1025;2026-02-08T13:46:02.625187
Рассылка 6-7 февраля. ;Кирова ул, 22;https://t.me/+0U40qZm4BRFlYmM6;https://t.me/c/1786797934/1861;2026-02-08T13:46:33.288071
Рассылка 6-7 февраля. ;Кирова ул, 22 А;https://t.me/+5zhgxB33REE5OGMy;https://t.me/c/1606187210/1310;2026-02-08T13:47:03.889798
Рассылка 6-7 февраля. ;Кирова ул, 22 Б;https://t.me/+ZDFksKTekiFkYzVi;https://t.me/c/1657147486/1153;2026-02-08T13:47:34.416576
Рассылка 6-7 февраля. ;Кирова ул, 22 Г;https://t.me/+417-vn1dvUVlNjIy;https://t.me/c/1683396167/1108;2026-02-08T13:48:04.957570
Рассылка 6-7 февраля. ;Кирова ул, 26;https://t.me/+wUebs4rKkQtiZjYy;https://t.me/c/1797057963/1787;2026-02-08T13:48:35.826596
Рассылка 6-7 февраля. ;Кирова ул, 37;https://t.me/+pBXRvKO6vohiNzIy;https://t.me/c/1775402557/1213;2026-02-08T13:49:06.333812
Рассылка 6-7 февраля. ;Кирова ул, 39;https://t.me/+uNd-s0j6FlY3OWI6;https://t.me/c/1267648216/3332;2026-02-08T13:49:36.832424
Рассылка 6-7 февраля. ;Кирова ул, 39 А;https://t.me/+0IcTL1g9kzk3MTgy;https://t.me/c/1607617032/3634;2026-02-08T13:50:07.498118
Рассылка 6-7 февраля. ;Кирова ул, 41;https://t.me/+34enGuqricYzOWNi;https://t.me/c/1576239437/2008;2026-02-08T13:50:38.083931
Рассылка 6-7 февраля. ;Кирова ул, 43 2;https://t.me/+L165ZIGIzANmZDA6;https://t.me/c/1459842065/1056;2026-02-08T13:51:08.488439
Рассылка 6-7 февраля. ;Кирова ул, 45;https://t.me/+gnyziJaJMbw3NjUy;https://t.me/c/1732620788/1649;2026-02-08T13:51:38.895787
Рассылка 6-7 февраля. ;Кирова ул, 45 2;https://t.me/+6rnqlCxQ9xo0ZTcy;https://t.me/c/1608782299/2779;2026-02-08T13:52:09.402583
Рассылка 6-7 февраля. ;Кирова ул, 49;https://t.me/+Tif5raTVSMtkNWRi;https://t.me/c/1614115026/2496;2026-02-08T13:52:39.828599
Рассылка 6-7 февраля. ;Кирова ул, 51;https://t.me/+AgOvG123kl8yNGQy;https://t.me/c/1777637939/2088;2026-02-08T13:53:10.489518
Рассылка 6-7 февраля. ;Кирова ул, 53;https://t.me/+Bnj1eRRYDb44NGEy;https://t.me/c/1187550764/2476;2026-02-08T13:53:40.996774
Рассылка 6-7 февраля. ;Кирова ул, 55;https://t.me/+3Q8T3bNr6IVlNGFi;https://t.me/c/1545425762/3496;2026-02-08T13:54:11.586225
Рассылка 6-7 февраля. ;Кирова ул, 57;https://t.me/+I-cIUWaleHNiMGIy;https://t.me/c/1645862336/2064;2026-02-08T13:54:42.317860
Рассылка 6-7 февраля. ;Кирова ул, 59;https://t.me/+URzW6L5vCDE2ZWM6;https://t.me/c/1561109840/1803;2026-02-08T13:55:12.786651
Рассылка 6-7 февраля. ;Кирова ул, 6;https://t.me/+tzqF6OJ0xLM1ZWVi;https://t.me/c/1743340808/1125;2026-02-08T13:55:43.417154
Рассылка 6-7 февраля. ;Кирова ул, 61/7 (Красноармейская ул, 7/61 );https://t.me/+Y9vtDLIdsm81Y2Uy;https://t.me/c/1592301273/4471;2026-02-08T13:56:13.888217
Рассылка 6-7 февраля. ;Кирова ул, 63;https://t.me/+gDtjwPtqZs02MzNi;https://t.me/c/1673020391/4636;2026-02-08T13:56:44.301075
Рассылка 6-7 февраля. ;Кирова ул, 63 А;https://t.me/+l7wcRdoqHL01ZDFi;https://t.me/c/1789009276/1336;2026-02-08T13:57:14.742830
Рассылка 6-7 февраля. ;Кирова ул, 8;https://t.me/+yRhjorSG43U2Y2My;https://t.me/c/1724236096/1308;2026-02-08T13:57:45.184104
Рассылка 6-7 февраля. ;Комсомольская ул, 15;https://t.me/+ZV1326-NaaMwODYy;https://t.me/c/1780055692/11532;2026-02-08T13:58:15.625576
